hsib1 hsib2 Probability
L0465 L0385 0.034
L0465 L0311 0.002
L0387 L2528 0.969
L0387 L0401 0.485
L0387 L0322 0.208
L0387 L0463 0.963
L0386 L0682 0.945
L0386 L1261 0.007
L0386 L1055 0.989
L0665 L1312 0.900
L0665 L0312 0.048
L0665 L0373 0.969
L0385 L1094 0.024
L0385 L0840 0.998
L1106 L2498 0.065
L1106 L2499 0.927
L1106 L0470 0.767
L1106 L0265 0.973
L1106 L1593 0.960
L1106 L0316 0.115
L0680 L1613 0.996
L0680 L1043 0.979
L0680 L2233 0.994
L0680 L0395 0.998
L2495 L0688 0.001
L2495 L1651 0.016
L0472 L0833 0.750
L0472 L1110 0.832
L0472 L0303 0.989
L0472 L1597 0.512
L0472 L1108 0.009
L0472 L0673 0.009
L0472 L1268 0.678
L0472 L1222 0.009
L0657 L0378 0.719
L0657 L1320 0.999
L0657 L0409 0.093
L0331 L0943 0.537
L0331 L0482 0.992
L0331 L0402 0.853
L0833 L1597 0.998
L1105 L0885 0.995
L1105 L0883 0.689
L1105 L0659 0.871
L1105 L1613 0.976
L1105 L0333 0.998
L1105 L1317 0.989
L2525 L0857 0.034
L2525 L0438 0.999
L1258 L1096 0.060
L1258 L0976 0.886
L1258 L2396 0.509
L1258 L1087 0.984
L1258 L1250 0.856
L1258 L2238 0.993
L1258 L1099 0.018
L1647 L0474 0.976
L1647 L0836 0.807
L1647 L1658 0.058
L1035 L0655 0.978
L0698 L0471 0.347
L0698 L1226 0.985
L0698 L1311 0.997
L0698 L0467 0.988
L0685 L0668 0.282
L0685 L0840 0.833
L0685 L1177 0.704
L0685 L1610 0.990
L0685 L1641 0.963
L0679 L1663 0.914
L0679 L0458 0.999
L0679 L1008 0.711
L0679 L0436 0.798
L0679 L2239 0.050
L1272 L1076 0.981
L1272 L1687 0.999
L1272 L0688 0.997
L1272 L0882 0.827
L1272 L0654 0.989
L0876 L0982 0.740
L0876 L0293 0.998
L0876 L1010 0.003
L0876 L1080 0.996
L0876 L0382 0.984
L0876 L0388 0.034
L1220 L0869 0.881
L1220 L1602 0.004
L1220 L1271 0.978
L2493 L0835 0.384
L2493 L0662 0.802
L2493 L0847 0.912
L2493 L1624 0.980
L0488 L0869 0.002
L0488 L2488 0.014
L0488 L0350 0.005
L0859 L0350 0.844
L0858 L1082 0.949
L0858 L0852 0.111
L0858 L0295 0.967
L0858 L0410 0.986
L0858 L1178 0.757
L2528 L0401 0.873
L2528 L0329 0.947
L2528 L0322 0.751
L2528 L0463 0.769
L2528 L0468 0.356
L2240 L2394 0.003
L2240 L0363 0.990
L2240 L1312 0.974
L2240 L0451 0.441
L2240 L0406 0.938
L2240 L0353 0.997
L2240 L1215 0.863
L2240 L1304 0.838
L0476 L0378 0.979
L0476 L0435 0.433
L0476 L0354 0.344
L0661 L0422 0.414
L0661 L1076 0.292
L0661 L0451 0.906
L0471 L0467 0.004
L0471 L1093 0.074
L0471 L1081 0.785
L0855 L0390 0.081
L0855 L0332 0.990
L0855 L0481 0.991
L0855 L0300 0.910
L1308 L0675 0.057
L1308 L0416 0.777
L1308 L0384 0.989
L1605 L2347 0.993
L1605 L0292 0.364
L1605 L0391 0.988
L0390 L0389 0.793
L0390 L1226 0.995
L0390 L1311 0.868
L0390 L1660 0.995
L0390 L0300 0.245
L0839 L0944 0.262
L0839 L0399 0.488
L0839 L0369 0.669
L0839 L0299 0.986
L0839 L0281 0.971
L0839 L1074 0.942
L0640 L1079 0.996
L0640 L0337 0.930
L0640 L1118 0.908
L0640 L1609 0.054
L0640 L0641 0.934
L0640 L1107 0.999
L0640 L1099 0.995
L0640 L0445 0.987
L0640 L0334 0.987
L0324 L0347 0.490
L0324 L0314 0.710
